================================================================================
Verification Started At:   Wed Nov 22  12:48:43  2017
Verification Completed At: Wed Nov 22  12:49:02  2017
================================================================================
Verification report                                     Machine S/N:SFD2001052
Grid S/N: 0003  Units: IN              4.0+L/100             12:49PM on 11\22\17
================================================================================
                     Distance                               Distance  
--------------------------------------------------------------------------------
        Nominal    Atol   Deviation            Nominal    Atol   Deviation      
================================================================================
 6-25    +1.06299 +0.00017 +0.00002      7- 8    +0.47244 +0.00016 -0.00001     
 7- 9    +0.94488 +0.00017 +0.00000      7-10    +1.41732 +0.00017 +0.00000     
 7-11    +1.46094 +0.00017 -0.00002      7-12    +1.00913 +0.00017 -0.00001     
 7-13    +0.59055 +0.00016 -0.00001      7-14    +0.35433 +0.00016 -0.00001     
 7-15    +0.59055 +0.00016 -0.00000      7-16    +0.85170 +0.00017 -0.00000     
 7-17    +0.70866 +0.00016 -0.00001      7-18    +0.85170 +0.00017 +0.00000     
 7-19    +1.18110 +0.00017 -0.00000      7-20    +1.58461 +0.00017 +0.00000     
 7-21    +1.77165 +0.00018 -0.00000      7-22    +1.42223 +0.00017 -0.00001     
 7-23    +1.16325 +0.00017 -0.00000      7-24    +1.06299 +0.00017 +0.00002     
 7-25    +1.16325 +0.00017 +0.00001      8- 9    +0.47244 +0.00016 +0.00001     
 8-10    +0.94488 +0.00017 +0.00001      8-11    +1.00913 +0.00017 -0.00000     
 8-12    +0.59055 +0.00016 +0.00001      8-13    +0.35433 +0.00016 -0.00000     
 8-14    +0.59055 +0.00016 -0.00001      8-15    +1.00913 +0.00017 -0.00001     
 8-16    +1.18110 +0.00017 -0.00001      8-17    +0.85170 +0.00017 -0.00002     
 8-18    +0.70866 +0.00016 +0.00001      8-19    +0.85170 +0.00017 +0.00001     
 8-20    +1.18110 +0.00017 +0.00001      8-21    +1.42223 +0.00017 +0.00001     
 8-22    +1.16325 +0.00017 -0.00000      8-23    +1.06299 +0.00017 +0.00001     
 8-24    +1.16325 +0.00017 +0.00001      8-25    +1.42223 +0.00017 +0.00000     
 9-10    +0.47244 +0.00016 -0.00000      9-11    +0.59055 +0.00016 -0.00001     
 9-12    +0.35433 +0.00016 +0.00001      9-13    +0.59055 +0.00016 +0.00001     
 9-14    +1.00913 +0.00017 -0.00000      9-15    +1.46094 +0.00017 +0.00000     
 9-16    +1.58461 +0.00017 +0.00000      9-17    +1.18110 +0.00017 -0.00000     
 9-18    +0.85170 +0.00017 +0.00001      9-19    +0.70866 +0.00016 +0.00001     
 9-20    +0.85170 +0.00017 -0.00000      9-21    +1.16325 +0.00017 +0.00001     
 9-22    +1.06299 +0.00017 +0.00000      9-23    +1.16325 +0.00017 +0.00002     
 9-24    +1.42223 +0.00017 +0.00002      9-25    +1.77165 +0.00018 +0.00002     
10-11    +0.35433 +0.00016 +0.00002     10-12    +0.59055 +0.00016 +0.00002     
10-13    +1.00913 +0.00017 +0.00001     10-14    +1.46094 +0.00017 +0.00000     
