   -0.94488    +0.70866
   -0.47244    +0.70866
   +0.00000    +0.70866
   +0.47244    +0.70866
   +0.94488    +0.70866
   +0.94488    +0.35433
   +0.47244    +0.35433
   +0.00000    +0.35433
   -0.47244    +0.35433
   -0.94488    +0.35433
   -0.94488    +0.00000
   -0.47244    +0.00000
   +0.00000    +0.00000
   +0.47244    -0.00000
   +0.94488    -0.00000
   +0.94488    -0.35433
   +0.47244    -0.35433
   +0.00000    -0.35433
   -0.47244    -0.35433
   -0.94488    -0.35433
   -0.94488    -0.70866
   -0.47244    -0.70866
   +0.00000    -0.70866
   +0.47244    -0.70866
   +0.94488    -0.70866
