+73.8284,-0.3585,10:11:45
+73.8284,-0.3585,10:19:22
+73.8284,-0.3585,10:26:59
+73.8284,-0.3585,10:34:38
+73.8284,-0.3585,10:42:15
+73.8284,-0.3585,10:49:51
+73.8284,-0.3585,10:57:28
+73.8284,-0.3585,11:05:04
+73.8274,-0.3585,11:12:41
+73.8284,-0.3585,11:20:18
+73.8284,-0.3585,11:27:55
+73.8274,-0.3585,11:35:31
+73.8284,-0.3585,11:43:09
+73.8284,-0.3585,11:50:46
+73.8294,-0.3585,11:58:23
+73.8294,-0.3585,12:05:59
+73.8284,-0.3585,12:13:35
+73.8284,-0.3585,12:21:12
+73.8284,-0.3585,12:28:51
+73.8294,-0.3585,12:36:28
+73.8284,-0.3585,12:44:04
